county,year,totalPopulation
Saguache,2025,6534
Huerfano,1991,6060
Otero,2007,18941
Garfield,2028,69224
Teller,2020,24777
El Paso,1998,498018
Logan,2043,22947
Kiowa,2007,1472
Costilla,2046,3018
Ouray,2005,4083
Chaffee,2015,18103
Crowley,2019,5843
Delta,2013,30425
Dolores,2014,2081
Garfield,2048,93539
Montezuma,1990,18672
Teller,1997,19069
Washington,2048,4373
Saguache,2033,6596
Delta,2039,34962
Montezuma,2031,27888
Garfield,2020,61724
Gunnison,2007,14950
Jefferson,1997,504230
Washington,2035,4876
Conejos,2012,8137
Jackson,2008,1384
Eagle,2004,46480
Custer,2045,3965
Washington,2013,4617
Hinsdale,2049,854
Rio Blanco,2007,6090
Montezuma,2017,25561
Baca,1997,4560
Cheyenne,2038,1668
Gilpin,2048,5379
Eagle,2038,65499
Crowley,2016,5838
Adams,2001,359441
Pueblo,2019,167484
La Plata,2034,68417
Yuma,2023,10027
San Miguel,2005,7045
Alamosa,2033,16896
Custer,2008,4119
Moffat,1999,13026
Kit Carson,1993,7262
Rio Grande,1994,11466
Denver,2025,761529
Elbert,2018,25364
Jackson,2005,1489
Denver,2016,686469
Adams,2028,583731
Huerfano,2029,6630
Rio Blanco,2033,6270
Montezuma,2013,25482
Garfield,2041,86514
Boulder,2005,282913
Prowers,2035,11252
Huerfano,2009,6712
Summit,2043,35922
Boulder,2016,323957
Bent,2046,5370
Eagle,1994,29026
Garfield,2030,71854
Mesa,2024,161643
Montezuma,1997,22974
Chaffee,2026,20285
Kit Carson,2005,7998
Clear Creek,2027,9701
Logan,2012,22130
Ouray,2033,5125
Chaffee,2009,17603
Washington,1995,5236
Costilla,2017,3518
Douglas,2000,180511
Lincoln,2004,5905
Yuma,2024,10050
Larimer,2017,344189
Delta,2035,34224
Jefferson,2023,590163
San Juan,2046,678
Morgan,2016,28288
Broomfield,2007,53333
Phillips,2019,4523
Dolores,2042,1812
Costilla,2023,3437
Gilpin,1994,3499
Otero,1992,20293
Morgan,2005,27949
Logan,2016,21776
Sedgwick,2032,2420
Las Animas,2024,14340
Morgan,2040,33485
Jackson,2018,1377
Prowers,2047,10295
Las Animas,1990,13765
El Paso,2008,599064
Baca,2008,3903
Ouray,2002,3905
Costilla,1995,3521
Cheyenne,2020,1742
Moffat,2012,13214
Saguache,2010,6144
Sedgwick,1992,2633
Morgan,2018,28936
Las Animas,2033,13819
Otero,2012,18816
Teller,2032,27227
Lincoln,2036,6093
Douglas,2045,462852
La Plata,2012,52316
San Miguel,2007,7276
Park,2015,15974
Logan,2038,22688
Elbert,1996,15812
Alamosa,2015,15887
Mesa,2010,147155
Ouray,2014,4531
Sedgwick,2016,2390
Ouray,2006,4138
Logan,1994,18831
Mesa,1992,97408
Montezuma,2018,25607
Garfield,2012,56418
Bent,2049,5345
Otero,2011,18829
Arapahoe,1995,442542
Prowers,1990,13240
Huerfano,1999,7830
Kit Carson,2022,7017
Dolores,2004,1870
Rio Grande,2040,11015
Las Animas,2010,15407
Logan,2006,22270
Moffat,1994,11997
Douglas,2008,276743
Otero,2049,14817
Archuleta,2025,14198
Yuma,1996,9521
Alamosa,1994,13826
Gilpin,2049,5362
Mesa,2037,198476
Elbert,2033,35988
Crowley,2029,6033
Douglas,2044,461524
Saguache,2034,6616
Summit,2026,31860
La Plata,2033,67617
Douglas,2042,458176
Teller,1996,18134
Cheyenne,2014,1813
Eagle,1999,39910
La Plata,2005,47710
Arapahoe,2014,618311
Montrose,2022,43799
Ouray,2036,5220
Dolores,2011,2053
Dolores,2047,1742
Fremont,2033,49793
Costilla,1992,3196
Costilla,2007,3677
Mesa,2004,126625
San Juan,2028,688
Pitkin,2032,17831
Kit Carson,2002,8287
Conejos,2037,7080
Alamosa,2026,16692
Park,2043,18902
Saguache,2047,6760
Grand,2046,19083
Crowley,2027,6010
Weld,2041,540226
Jackson,2027,1309
Adams,2012,460468
La Plata,2028,63349
Dolores,2000,1847
Crowley,1992,4140
Conejos,2000,8407
Eagle,2011,52124
Mesa,2050,226581
Moffat,1992,11697
Gunnison,1996,12241
Mineral,2013,736
Hinsdale,2010,843
Routt,2019,24518
Eagle,2005,47278
Pueblo,2040,189576
Garfield,2019,60559
Weld,1995,157174
Larimer,1999,246158
Saguache,2039,6668
Kit Carson,2011,8165
Conejos,2050,6703
Gilpin,1995,3670
Delta,2005,29409
Lincoln,2026,5917
Weld,1999,177267
Routt,2047,35655
San Miguel,2006,7057
Jefferson,2050,636783
Baca,2016,3508
Jackson,1992,1577
Pitkin,2039,18216
Archuleta,2022,13693
Routt,2038,32703
Logan,2013,22051
San Juan,1996,591
Rio Blanco,2011,6738
Arapahoe,2013,607859
Eagle,2019,54817
La Plata,2039,72305
Costilla,2003,3799
Denver,2011,620228
Chaffee,2003,16793
Cheyenne,2006,1979
Jackson,2011,1382
Teller,2007,23167
Montrose,2017,41765
Yuma,2036,10164
Archuleta,2009,11900
Routt,2013,23576
Summit,2015,30264
Grand,1996,10512
Douglas,2015,322083
Rio Blanco,2036,6167
Gilpin,2046,5427
Kiowa,2011,1380
Douglas,2032,426544
Lincoln,2041,6107
El Paso,2022,746683
Kit Carson,2024,7021
Routt,2027,27630
Phillips,2024,4539
Crowley,1998,4283
Lake,2031,8180
La Plata,2031,65946
Eagle,2030,59764
Pueblo,1994,128721
Logan,1996,19664
Chaffee,2004,16943
Conejos,1994,7746
Huerfano,1995,7159
Pitkin,2003,16275
Costilla,2042,3087
Conejos,2036,7099
Lincoln,2010,5474
Broomfield,1992,0
Dolores,1996,1645
Custer,2032,4455
Cheyenne,2013,1816
Baca,2032,3193
Denver,2009,595575
Clear Creek,2000,9360
Hinsdale,2011,841
San Miguel,2039,10809
Boulder,2019,328830
Routt,2040,33461
Hinsdale,1995,657
Adams,2023,536458
Jefferson,2044,636089
Gunnison,2041,19642
Las Animas,2043,12574
Prowers,2011,12482
Hinsdale,1997,739
Mesa,2001,119864
Grand,2025,16293
Gilpin,2021,5823
Yuma,2003,10093
Arapahoe,2023,672827
Broomfield,2005,48250
Eagle,2046,69722
Cheyenne,2017,1787
Custer,2035,4351
Costilla,2001,3740
Gilpin,2023,5793
Prowers,2026,11780
Chaffee,1993,13702
Moffat,1996,12285
Grand,2028,16649
Alamosa,2046,17138
Adams,2018,511420
La Plata,1998,41170
San Juan,2023,700
Montezuma,2025,26648
Delta,2040,35128
Grand,2038,18127
San Miguel,2013,7612
Bent,2041,5401
Adams,1999,355309
Prowers,2018,11969
Larimer,2010,300532
Crowley,2048,6211
Fremont,2006,46702
Kit Carson,2001,8078
Denver,2008,581905
Mineral,2001,822
Mesa,2020,155910
Las Animas,2032,13914
La Plata,2019,55511
Alamosa,2012,15606
Crowley,2036,6105
Broomfield,1996,0
Elbert,2026,30944
Ouray,2048,5665
Grand,2035,17698
Bent,2025,5534
Kiowa,2045,1287
Elbert,2001,21294
Las Animas,2038,13269
San Juan,2016,697
Las Animas,2025,14310
Adams,2036,667710
Eagle,2013,52262
Gilpin,2002,4834
Hinsdale,2036,835
Grand,2040,18391
Saguache,2017,6210
Kiowa,2025,1442
Logan,1993,17965
Denver,2042,862412
Moffat,2039,12314
Fremont,2024,48874
Montrose,1992,26219
Mesa,1990,93572
Montrose,2007,39129
Custer,2009,4165
Clear Creek,2025,9530
Archuleta,1997,8528
Yuma,2008,9895
Bent,2004,6362
Kiowa,2048,1273
La Plata,2017,55034
Alamosa,2027,16717
Kiowa,1993,1700
Rio Blanco,2008,6161
Conejos,2038,7063
Pueblo,2012,160334
Washington,2004,5061
Sedgwick,1997,2730
Grand,2000,12852
Custer,1991,2010
San Miguel,1992,4563
Custer,2043,4043
Crowley,2012,5838
Summit,2027,32196
Summit,2011,28081
Larimer,2023,372573
Grand,1991,8391
Mesa,2023,159725
Las Animas,2016,14906
Phillips,1997,4575
Huerfano,2003,8044
Weld,2027,395758
Baca,2020,3476
Montrose,2028,47345
Jackson,2010,1387
Otero,2040,16302
Kit Carson,2032,7097
Saguache,2023,6506
Gilpin,2040,5562
Broomfield,2006,51151
Dolores,2028,2015
Denver,2032,817349
Bent,2037,5424
Weld,2039,521311
Chaffee,1991,12866
Yuma,2028,10200
Clear Creek,2047,11270
Saguache,2048,6772
Eagle,2048,70488
Arapahoe,2048,822581
Washington,2008,4802
Las Animas,2019,14642
Gunnison,1990,10273
Denver,2026,769878
Clear Creek,2043,11101
Morgan,2010,28196
Rio Grande,1998,12117
Pitkin,2041,18305
Kiowa,1999,1626
Weld,1996,161805
Sedgwick,2048,2335
Prowers,2005,13509
Weld,2036,492084
San Juan,2002,599
Costilla,2015,3515
Costilla,2049,2956
Rio Grande,2006,12432
Chaffee,2023,19871
Douglas,1999,162324
Yuma,2009,10032
Boulder,2013,310897
Rio Grande,2014,11823
Clear Creek,2024,9484
Costilla,2010,3532
Routt,2011,23481
Arapahoe,2022,665144
Mineral,2007,808
Kit Carson,1999,7901
Custer,2006,4023
Jefferson,2035,623862
Rio Grande,2041,10954
Broomfield,2020,74469
Cheyenne,2049,1546
Pueblo,2027,176074
Sedgwick,1990,2690
Adams,2030,604681
Morgan,2039,33301
Routt,2010,23439
Larimer,2016,339126
Delta,1998,26827
Chaffee,2047,22459
Rio Grande,2008,12106
Lincoln,2006,5668
Douglas,2046,463970
Gilpin,2050,5332
Boulder,2047,394141
Costilla,1990,3190
Fremont,2047,51633
Cheyenne,1997,2297
Hinsdale,2013,825
San Juan,2018,702
Teller,2013,23107
Saguache,2031,6583
Denver,2031,810045
San Juan,2019,709
Garfield,2004,48159
Denver,2003,560350
Denver,2049,853304
Adams,1997,332750
Yuma,2013,10138
San Miguel,2030,9554
San Miguel,2033,10021
Costilla,2014,3516
Morgan,2036,32700
El Paso,2017,704794
Montrose,2023,44375
Denver,2006,562863
Custer,1992,2139
Alamosa,2008,15345
Phillips,2015,4504
Douglas,2017,335938
Alamosa,2028,16746
Eagle,1992,24938
Archuleta,2020,13368
Las Animas,2001,15314
Kiowa,2021,1462
Weld,2001,192478
Huerfano,2017,6739
Garfield,1995,36417
Washington,2017,4844
Chaffee,2019,19392
Rio Blanco,2006,5978
Yuma,2000,9815
Jefferson,1999,520811
Arapahoe,2047,819830
Teller,2047,28854
Costilla,2038,3150
Douglas,2001,199035
Adams,2039,698529
Arapahoe,2019,653808
Otero,1995,20698
Grand,2017,15144
Grand,2019,15406
Kit Carson,2018,7280
La Plata,2035,69218
Gunnison,1998,13444
Sedgwick,2014,2384
La Plata,2032,66800
Saguache,2027,6549
Jefferson,2026,600055
Prowers,2027,11736
Larimer,1990,187078
Montrose,2039,53476
Denver,2002,559088
Lincoln,1998,6106
San Miguel,2047,11456
Huerfano,2036,6065
Custer,2013,4407
Larimer,2012,310960
Rio Grande,1999,12288
Baca,2007,3998
Jackson,2024,1330
Alamosa,2022,16520
Hinsdale,2017,806
Las Animas,2028,14182
Clear Creek,2049,11320
Archuleta,2000,10042
Baca,2030,3231
Alamosa,2024,16634
Rio Grande,2010,12001
Delta,2032,33557
La Plata,1999,42757
Kit Carson,2050,7311
Alamosa,2029,16782
Cheyenne,2002,2164
Rio Grande,2000,12429
Prowers,2021,12015
San Miguel,2014,7730
Denver,2014,658632
Washington,2044,4569
Mineral,2045,888
Crowley,2005,5436
Eagle,2050,71179
Logan,2030,22196
Las Animas,2035,13618
Huerfano,2006,7749
Rio Blanco,2004,5903
Mesa,2015,148778
Bent,1996,5625
Montrose,2000,33579
Saguache,1994,4943
Cheyenne,2021,1728
Jefferson,2009,532604
Dolores,2025,2045
Pitkin,2002,16102
Kit Carson,2048,7283
Saguache,2021,6470
Moffat,2036,12488
Mesa,2026,166569
Pueblo,2034,184335
Pitkin,2033,17900
Morgan,1994,25078
Custer,1996,2850
Alamosa,2025,16661
Kiowa,2006,1517
Lincoln,2049,6336
Jackson,2015,1377
Gilpin,2019,5750
Mesa,2031,181227
Saguache,2032,6590
Lincoln,2002,6046
Fremont,2031,49511
Adams,2015,490355
Lincoln,1995,5984
La Plata,2045,76573
Douglas,1991,66688
El Paso,2009,608519
Gunnison,2006,14648
Arapahoe,2037,772640
Yuma,2020,9999
Otero,2036,16902
Saguache,2043,6712
Boulder,2031,357688
Fremont,2034,49935
Custer,2000,3518
Kiowa,2015,1406
Lincoln,2032,6064
Boulder,2003,282761
Jackson,2049,1185
Yuma,2012,10077
Park,2036,19067
Routt,2005,21456
La Plata,2013,53140
Prowers,2015,11885
Costilla,2040,3118
Montrose,2038,53058
Teller,2027,26531
Park,2003,15787
San Miguel,2021,8079
Broomfield,2001,41386
Elbert,1999,19086
San Juan,2025,699
Archuleta,2048,19503
Jackson,2050,1179
Lincoln,1996,6113
Pueblo,2011,159837
Yuma,2004,9887
Kiowa,1997,1660
Douglas,2003,221146
Summit,2036,34331
Cheyenne,2024,1732
Alamosa,2036,16983
Fremont,2015,47213
Adams,2048,784836
Hinsdale,2005,808
Prowers,2016,11884
Broomfield,2027,89806
Costilla,2027,3356
Fremont,2050,52053
Hinsdale,2019,802
Otero,1993,20435
Cheyenne,2015,1806
Alamosa,1996,14319
Pueblo,2029,178607
Crowley,2011,5831
Jackson,2040,1232
Garfield,2002,46728
Sedgwick,2027,2454
Hinsdale,1991,449
Boulder,2010,295605
Weld,2046,585471
Lake,1993,6265
Larimer,2046,493355
Ouray,2045,5543
Grand,2033,17405
Rio Blanco,1994,6318
Delta,2010,30889
Jackson,2034,1269
Otero,1997,20763
Jefferson,2008,530564
Otero,2041,16133
Phillips,2026,4545
Yuma,2006,9919
Adams,2027,573373
Clear Creek,2021,9378
Eagle,2014,52399
Clear Creek,2014,9035
San Juan,2042,669
Garfield,2050,94890
Archuleta,2006,11800
Morgan,2011,28427
Mineral,2042,905
Denver,2044,860995
Alamosa,1993,13656
Dolores,2044,1786
Custer,2007,4124
Yuma,2049,9900
Pueblo,2042,190917
Jefferson,2012,546628
Mineral,2004,850
Bent,2006,6076
Ouray,2043,5469
El Paso,2006,582501
Larimer,2043,479542
Hinsdale,2044,849
Cheyenne,2004,2058
Summit,1992,13845
Conejos,2003,8387
Jackson,1990,1605
Mesa,2048,223093
San Miguel,2010,7356
Mesa,2047,221238
Jefferson,2000,526716
Kit Carson,2021,7025
Teller,2049,29082
Gilpin,2045,5449
Morgan,2030,31355
Ouray,2011,4405
Rio Blanco,2001,5880
Costilla,2034,3224
Costilla,2005,3696
Mesa,2011,147953
Denver,1996,518260
Weld,2023,356703
Crowley,2040,6140
Elbert,2032,35459
Clear Creek,2038,10776
Morgan,2006,27983
Pitkin,2042,18349
Huerfano,2021,6807
Garfield,2006,51106
Lake,2040,8655
Pitkin,1999,14827
Otero,2019,18738
Boulder,2007,288754
Archuleta,2037,17077
Sedgwick,2007,2425
Conejos,1993,7641
Pitkin,2048,18672
Pitkin,2009,17056
Rio Blanco,1995,6400
Hinsdale,2020,799
Summit,2014,29499
Elbert,2030,34202
Otero,2015,18819
Broomfield,2024,82649
Summit,2016,30820
Yuma,2016,10051
Clear Creek,2015,9160
Costilla,2031,3287
Delta,2029,32802
Fremont,2042,50974
Bent,2033,5455
Clear Creek,2031,10127
Morgan,2032,31820
Bent,2020,5588
Denver,2050,850636
Baca,1996,4524
Moffat,2031,12757
Lake,2047,8839
Otero,2029,17824
Montrose,2024,44937
Ouray,2037,5253
El Paso,2048,984298
Phillips,1996,4502
Broomfield,2048,94225
Morgan,2002,27663
Montrose,2035,51591
Routt,1999,19232
Pitkin,2018,17645
Bent,2000,5966
Logan,2050,23190
Delta,2004,29452
Otero,2004,19561
Ouray,2050,5751
Mineral,2041,907
Arapahoe,2041,795758
Washington,1992,4892
Delta,2027,32253
Grand,2006,14137
San Miguel,2001,6901
Pitkin,2004,16077
Broomfield,2009,55378
Custer,2024,4667
Kit Carson,2042,7206
Pueblo,2044,192060
Gunnison,2036,18978
Montrose,1999,32750
Washington,2003,5141
Jackson,2035,1258
Huerfano,2025,6754
Elbert,2035,36866
Hinsdale,2033,833
Fremont,2028,49085
Conejos,2048,6777
Jackson,1991,1560
Otero,2023,18507
Adams,2021,523654
Mesa,2022,158045
Jefferson,1998,512482
Montezuma,2034,28343
Bent,2024,5539
Alamosa,2011,15525
Costilla,2020,3488
Conejos,2029,7178
Pueblo,1997,134794
Phillips,1991,4201
Hinsdale,1993,535
Adams,2032,625844
Eagle,2039,66130
Boulder,2014,314218
Larimer,2038,455348
Kit Carson,2033,7110
Teller,1994,15786
Grand,2050,19465
Otero,2014,18781
Montrose,2049,55924
Summit,2021,30835
Hinsdale,2032,836
Hinsdale,2034,833
Costilla,2029,3321
Garfield,2045,90958
Arapahoe,2006,536049
Cheyenne,1992,2407
Moffat,2034,12594
Las Animas,2034,13723
Gilpin,2022,5810
Dolores,2017,2085
Sedgwick,2040,2361
Yuma,1999,9818
Elbert,2048,37752
Boulder,2000,276254
Mesa,1996,107536
Pitkin,2030,17721
Lincoln,2022,5746
Morgan,2000,27250
Elbert,2046,37826
Gunnison,2014,15553
Crowley,2006,5708
Rio Grande,2009,11996
Otero,2035,17046
Baca,2035,3139
Rio Blanco,2026,6457
Fremont,1992,33818
Alamosa,2037,17009
Ouray,1994,2904
Washington,2001,4895
Rio Blanco,2021,6538
Las Animas,2031,13994
Douglas,2018,343262
Otero,2034,17185
Phillips,1992,4230
Gunnison,2029,18010
Lake,2017,7355
Lake,2035,8416
San Miguel,2004,7024
Montrose,2029,47985
Logan,2044,22989
Costilla,2026,3370
Douglas,2006,257832
Lake,2003,7521
Archuleta,2008,12070
Prowers,2048,10196
Montrose,2046,55531
Grand,1990,7967
Bent,2031,5467
Lincoln,2011,5488
Ouray,2042,5430
Broomfield,2037,95832
Adams,2011,452184
Lincoln,2028,5968
Sedgwick,2037,2379
Broomfield,2043,95339
Routt,1997,18119
Custer,2026,4625
Kit Carson,2036,7150
Jefferson,2010,535651
Teller,2035,27598
Kit Carson,2003,8186
Larimer,1998,239080
Larimer,2036,445188
Clear Creek,1990,7619
Phillips,2046,4390
Rio Grande,2033,11374
Larimer,1993,206849
Archuleta,1991,5624
Kiowa,2047,1281
El Paso,1992,422819
Crowley,2028,6022
Jefferson,2019,582571
Weld,2009,248959
Adams,2000,351734
Rio Blanco,2030,6377
Mesa,1997,109762
Chaffee,1992,13119
Montezuma,2011,25522
Sedgwick,2039,2365
Sedgwick,2030,2428
Delta,2044,35696
Elbert,2037,37460
Denver,2004,560225
Saguache,2018,6272
Lake,2043,8748
Pueblo,2035,185330
Gilpin,2000,4807
Arapahoe,2040,790629
Mesa,2041,208556
Pueblo,2018,166685
Jackson,2013,1389
Larimer,2027,395939
Ouray,1995,3080
Crowley,2023,5904
Morgan,2042,33835
Yuma,1994,9278
Montrose,2033,50460
Sedgwick,2045,2340
Routt,2003,21125
Eagle,2037,64854
Cheyenne,2026,1746
Huerfano,2030,6587
Mesa,2035,192986
Rio Grande,1993,11210
Rio Grande,2034,11341
Otero,2002,19625
Clear Creek,2034,10428
Costilla,2013,3517
San Juan,2011,710
Grand,2041,18525
Las Animas,2026,14262
Douglas,2011,292623
Delta,2001,28388
Gilpin,2010,5463
Gunnison,2025,17441
Custer,2025,4647
Costilla,2025,3394
Pitkin,2007,16235
Baca,1998,4531
Summit,2010,28073
Lake,2004,7414
Washington,2021,4819
Washington,2020,4829
La Plata,2008,50074
Morgan,2013,28250
El Paso,2046,973075
Boulder,2029,351771
Park,1992,8089
San Miguel,2038,10691
La Plata,2024,58935
Boulder,2006,286134
Phillips,1999,4519
El Paso,2000,519803
San Miguel,1997,5952
Adams,2049,793782
Park,2007,16337
Huerfano,2040,5633
Montezuma,2014,25469
Teller,2002,21988
Denver,2017,693135
Elbert,2005,22259
Delta,2003,29067
Gunnison,2012,15269
Jefferson,1991,449663
Saguache,2040,6679
Dolores,2002,1880
Clear Creek,2045,11192
Weld,2033,461983
Costilla,2018,3512
Phillips,2038,4462
Lincoln,1997,6092
San Juan,2036,663
Elbert,2002,21606
El Paso,2013,658299
Dolores,2034,1935
La Plata,2043,75193
Archuleta,2015,12006
Lake,2039,8625
Custer,2046,3924
Douglas,1996,114713
Clear Creek,1995,8686
Arapahoe,1990,393289
Lake,1994,6378
Hinsdale,2029,827
Gunnison,2038,19250
Jackson,2045,1200
Crowley,2022,5882
Gilpin,2003,4847
Adams,2026,563096
Adams,2042,728548
Chaffee,2041,22092
Arapahoe,2021,658287
San Miguel,2003,7013
Mesa,2021,156704
Chaffee,2002,16642
Elbert,2039,37810
Douglas,2021,368862
Larimer,2047,497837
Kiowa,2034,1373
Pueblo,1995,130831
San Juan,1994,558
Rio Blanco,2029,6396
Elbert,1995,14325
Custer,2049,3814
Lake,2000,7939
Park,2042,18942
Jackson,2012,1378
Park,2044,18866
Elbert,2009,22892
Prowers,2050,10001
Hinsdale,2047,846
Mesa,2014,147874
Moffat,2026,13030
Hinsdale,2018,799
Gunnison,2000,13988
Costilla,1997,3641
Crowley,1996,4262
Costilla,2039,3133
Delta,2026,31964
Montrose,2032,49883
Garfield,2039,83927
Sedgwick,2006,2510
Conejos,1997,8104
Gilpin,1990,3070
Washington,2042,4644
Pitkin,2011,17122
La Plata,2037,70786
Sedgwick,2041,2355
Moffat,1995,12189
Rio Grande,2037,11202
Mesa,2049,224867
Delta,2031,33313
Mesa,2029,175031
Chaffee,2014,18065
Las Animas,1992,14034
La Plata,2021,55795
Baca,1990,4556
Summit,2041,35493
Arapahoe,2004,523717
Park,2035,19051
Pueblo,2021,169373
Morgan,2024,29882
Morgan,2049,34925
Weld,2008,244115
Park,2045,18823
Moffat,2025,13086
Lake,1999,7819
Gunnison,2037,19113
Phillips,2001,4488
Arapahoe,2030,725283
Jefferson,2030,611913
Baca,2015,3533
Lincoln,2003,6058
Prowers,2022,11973
Rio Blanco,2028,6422
Douglas,1994,92530
Mineral,2049,860
Pueblo,2036,186280
Yuma,2027,10163
Eagle,2016,53039
Mineral,2022,901
Routt,2018,24312
Conejos,2008,8383
Costilla,2011,3520
Elbert,1997,16987
Gunnison,2034,18701
Custer,2015,4467
Kiowa,2008,1430
Elbert,2019,25668
Pueblo,1996,132502
Conejos,2041,6993
Chaffee,2048,22508
Logan,2039,22750
Mineral,2044,897
San Miguel,2011,7486
Otero,2000,20244
Baca,2024,3370
Clear Creek,2003,9514
Grand,2004,13917
Clear Creek,2030,10020
Douglas,2048,465643
Gilpin,2030,5657
Las Animas,2037,13396
Clear Creek,2002,9462
Elbert,2038,37665
Moffat,2035,12541
Fremont,2020,48883
Summit,2040,35274
Elbert,2000,20102
Fremont,2029,49204
San Juan,2044,673
Garfield,2036,79957
Weld,2014,275990
Ouray,2015,4551
Hinsdale,2031,831
Broomfield,1990,0
Dolores,2005,1886
Phillips,2035,4476
Pueblo,2028,177347
Rio Blanco,1990,6063
Boulder,2036,371769
Boulder,2011,300524
Custer,2040,4161
Boulder,2030,354737
Jefferson,2047,637492
Montrose,2045,55333
Jefferson,2029,609098
Clear Creek,2019,9415
Archuleta,2010,12060
Lake,1997,7870
Gunnison,2050,20477
Lake,2024,7590
Moffat,2045,11915
Sedgwick,2050,2336
Park,2048,18699
Summit,2024,31424
Cheyenne,1990,2397
Yuma,2043,10086
Alamosa,2003,15358
Fremont,2000,46369
Huerfano,2043,5303
Bent,2027,5503
Conejos,2043,6935
Pitkin,2027,17572
Costilla,2036,3186
Moffat,2028,12920
Morgan,1998,26666
Boulder,1997,266064
Fremont,2021,48973
Douglas,1997,129329
Routt,1993,15925
Jefferson,2033,619510
Prowers,2043,10648
San Miguel,2044,11273
Cheyenne,2047,1572
Hinsdale,2040,835
San Juan,2045,675
La Plata,2025,60049
Las Animas,2022,14402
Rio Grande,2018,11647
Rio Grande,2049,10183
Jefferson,2003,525428
Crowley,2047,6203
Prowers,2038,11041
Huerfano,2008,7676
Eagle,2025,57618
Garfield,2022,63121
Chaffee,2040,22011
Teller,2026,26263
Gilpin,2011,5480
Pueblo,2009,157323
Fremont,2017,47574
Hinsdale,2038,841
Crowley,2021,5861
Denver,1994,504252
Montrose,2030,48646
Arapahoe,1998,472406
Dolores,2048,1732
Chaffee,2016,18518
Custer,1995,2621
Phillips,2041,4424
Yuma,2011,10110
Mesa,2042,210865
Baca,2026,3321
Kiowa,2022,1453
Phillips,2021,4555
Moffat,2024,13137
Crowley,1991,3974
La Plata,2002,46087
Cheyenne,1993,2307
Arapahoe,2009,566477
Jefferson,2041,633329
Rio Blanco,1996,6342
Archuleta,2031,15532
Prowers,2040,10886
Teller,1998,19671
Ouray,1999,3627
Otero,2032,17456
Custer,2016,4499
Gunnison,2049,20393
Elbert,2023,28167
Gunnison,2010,15309
Larimer,2031,418513
Crowley,2001,5249
Rio Blanco,2014,6652
El Paso,1997,486808
Larimer,2008,292389
Eagle,2044,68840
Rio Grande,2027,11540
Cheyenne,2050,1537
Garfield,2007,52677
Rio Blanco,2045,5827
Sedgwick,2031,2420
Baca,1993,4325
Dolores,1994,1500
Costilla,1993,3342
Lake,2006,7219
Rio Grande,2007,12166
Washington,2025,4884
Jefferson,2046,637331
Mesa,2008,140678
Broomfield,2011,57575
Weld,2038,511684
Douglas,2040,453812
Kit Carson,2007,7835
Kiowa,2019,1457
Gilpin,1991,3091
Gilpin,2043,5504
Morgan,2033,32047
Routt,1994,16619
La Plata,2009,50760
Baca,2004,4163
Larimer,1994,214930
La Plata,2001,45648
Summit,2048,36906
Gilpin,2032,5642
Jefferson,2004,524880
Mesa,2043,213104
Jefferson,2024,593619
Saguache,2001,6080
Otero,2005,19370
Hinsdale,2023,797
Morgan,2021,29081
Pitkin,2022,17318
Adams,2050,802623
Adams,2029,594171
Crowley,1993,4140
Garfield,2017,58870
Jackson,2006,1441
Garfield,2046,91887
El Paso,2028,810610
Clear Creek,2040,10924
Custer,2010,4272
Pitkin,2006,16087
Alamosa,2009,15305
Larimer,2011,305342
Douglas,2050,466672
Otero,1994,20489
Pitkin,2014,17517
Phillips,2045,4398
San Juan,2022,708
Costilla,2048,2980
Jackson,2021,1370
Arapahoe,2045,813101
Summit,1998,21285
San Miguel,1999,6531
Archuleta,2001,10464
Conejos,2016,7844
Custer,1998,3174
San Miguel,2049,11546
Clear Creek,2023,9449
Logan,2041,22846
Garfield,1998,41225
Douglas,2043,459972
Baca,2033,3175
San Juan,1993,541
Baca,2043,3017
Washington,2028,4912
Larimer,2013,316339
Bent,1999,6001
Douglas,2005,244445
Logan,2001,22359
Logan,2023,21549
Pueblo,2045,192565
Bent,1997,5643
Delta,2024,31484
Las Animas,2006,15554
Morgan,2007,27849
Mesa,2039,203677
Huerfano,2018,6756
Eagle,2036,64168
Huerfano,2013,6701
Gunnison,2021,16946
Kit Carson,2013,8011
Eagle,1993,26834
Bent,2038,5422
Routt,2046,35386
Montrose,1996,30482
Pueblo,2032,182177
El Paso,2042,946389
Montrose,1991,25272
Otero,2047,15144
Fremont,1999,45135
Pueblo,2049,194221
Montezuma,1998,23114
Ouray,2026,4959
Clear Creek,1999,9186
Kiowa,2043,1306
Lincoln,2014,5542
Eagle,2026,58054
Montrose,2047,55691
Jackson,2017,1379
San Juan,2039,659
Custer,2023,4688
Dolores,1997,1674
Clear Creek,2039,10852
Mineral,2046,885
Archuleta,2007,12104
Arapahoe,2005,528217
Phillips,2049,4368
Weld,2005,223431
Prowers,2020,12015
Rio Grande,2045,10602
Elbert,2008,22664
Larimer,2045,488809
Yuma,1997,9655
Boulder,2024,337299
Moffat,1997,12573
Rio Blanco,2022,6522
Montrose,1998,31833
Jefferson,2034,621764
Rio Blanco,2039,6058
Archuleta,2021,13537
Las Animas,2030,14082
Crowley,2013,5847
Archuleta,2041,18055
Huerfano,1996,7395
Rio Grande,1992,10944
Gilpin,2016,5578
Baca,2028,3273
Huerfano,2050,4616
Weld,2021,340019
Larimer,2022,367183
Summit,2003,26707
Cheyenne,1995,2270
