county,year,totalPopulation
Broomfield,2022,78202
Costilla,1996,3586
Rio Blanco,2042,5943
Broomfield,2025,85028
Crowley,2030,6039
El Paso,2037,904630
Arapahoe,2000,490722
Ouray,2031,5072
Prowers,2004,13659
Park,1999,13904
Adams,2040,708641
Garfield,2031,73212
Bent,2048,5350
Crowley,2025,5964
Dolores,1999,1810
El Paso,2033,864950
Arapahoe,2026,696151
Broomfield,2008,54399
Bent,2039,5410
Morgan,2045,34301
Park,2032,18920
Kiowa,2031,1391
Huerfano,2037,5958
Pitkin,2012,17200
Eagle,2032,61248
Ouray,2013,4519
Boulder,2002,284434
Phillips,2029,4522
Fremont,2004,46537
La Plata,2016,54879
Sedgwick,2004,2610
Baca,2036,3121
San Juan,2010,709
El Paso,2041,938801
Custer,2028,4575
Grand,1995,9952
Weld,1998,172393
Hinsdale,1998,775
Montezuma,2049,29817
Alamosa,1997,14478
Teller,2031,27099
Boulder,2039,379447
Teller,2004,22215
Arapahoe,2017,642977
Lincoln,1993,5882
Otero,2022,18608
Elbert,2029,33474
Otero,2021,18703
Lincoln,2015,5549
Las Animas,2039,13140
Conejos,2009,8211
Arapahoe,2002,510500
Arapahoe,2031,732329
Pitkin,2034,17970
Conejos,2024,7250
Montrose,2019,42503
El Paso,2016,692291
Montrose,1995,29669
Adams,1996,323039
Prowers,2029,11628
Denver,2030,802309
Costilla,2012,3513
Mineral,2002,806
Delta,2021,31083
El Paso,2019,725496
Huerfano,2004,7731
Morgan,2026,30386
Morgan,2009,28027
Gilpin,1996,3789
Sedgwick,1994,2660
Eagle,2023,56766
Huerfano,2048,4807
Jackson,2028,1305
Sedgwick,2002,2691
Elbert,2007,22480
Hinsdale,2003,785
Custer,2039,4204
Park,2023,17721
Gunnison,1992,10771
Delta,2048,36142
Prowers,2017,11930
Conejos,2004,8503
Teller,2010,23441
Elbert,2017,24946
Custer,2033,4420
Lincoln,2016,5576
Conejos,1991,7535
Mineral,1997,745
Gilpin,2015,5546
Montezuma,2042,29233
Alamosa,2018,16183
Pitkin,2017,17657
Adams,2006,407588
Summit,2004,26705
Grand,2021,15719
Teller,1995,16979
Montrose,2002,34932
Crowley,2035,6092
Montezuma,2029,27528
Crowley,2010,5838
Mineral,2032,921
Pueblo,2001,143993
Pueblo,2006,152061
La Plata,1996,39700
Summit,2012,28386
Prowers,2025,11834
Huerfano,2046,4994
Gunnison,2028,17857
Gilpin,2033,5646
Montezuma,1994,21390
Conejos,2014,7993
Delta,2046,35931
Rio Grande,2022,11500
Rio Grande,1990,10770
Conejos,2028,7189
Chaffee,2000,16312
Delta,2028,32522
Bent,2022,5566
Huerfano,2045,5095
Baca,1992,4298
Crowley,2020,5840
Crowley,2049,6221
Teller,2050,29192
Weld,1994,151375
Eagle,2022,56227
Park,2024,17911
Grand,2027,16536
Broomfield,1993,0
Larimer,2039,460320
Grand,2034,17553
